claim_id,figure_panel,manuscript_claim_text,source_data_level,source_repository_or_archive,immutable_ref_or_bundle_hash,original_path,portable_bundle_path,producer_script,parameter_config_fingerprint,terminal_or_censor_status,independent_recomputation_method,expected_value,recomputed_value,tolerance,pass_fail,final_evidence_class,notes
Fig3-DBTT-K0,Figure 3,"FEM/CZM DBTT class K0 (0-50um early toughness) = 22.77±0.16 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),22.77±0.16,22.77±0.16,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-DBTT-Kss,Figure 3,"FEM/CZM DBTT class Kss (late/steady-state toughness) = 33.20±4.48 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),33.20±4.48,33.20±4.48,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-DBTT-DeltaK,Figure 3,"FEM/CZM DBTT class DeltaK_R (late minus early) = 10.43±4.42 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),10.43±4.42,10.43±4.42,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-ceramic-K0,Figure 3,"FEM/CZM ceramic class K0 (0-50um early toughness) = 9.33±0.09 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),9.33±0.09,9.33±0.09,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-ceramic-Kss,Figure 3,"FEM/CZM ceramic class Kss (late/steady-state toughness) = 16.59±1.39 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),16.59±1.39,16.59±1.39,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-ceramic-DeltaK,Figure 3,"FEM/CZM ceramic class DeltaK_R (late minus early) = 7.26±1.42 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),7.26±1.42,7.26±1.42,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-peak-K0,Figure 3,"FEM/CZM peak class K0 (0-50um early toughness) = 16.71±0.13 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),16.71±0.13,16.71±0.13,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-peak-Kss,Figure 3,"FEM/CZM peak class Kss (late/steady-state toughness) = 27.41±1.69 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),27.41±1.69,27.41±1.69,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-peak-DeltaK,Figure 3,"FEM/CZM peak class DeltaK_R (late minus early) = 10.70±1.68 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),10.70±1.68,10.70±1.68,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-weakT-K0,Figure 3,"FEM/CZM weakT class K0 (0-50um early toughness) = 12.83±0.10 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),12.83±0.10,12.83±0.10,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
Fig3-weakT-Kss,Figure 3,"FEM/CZM weakT class Kss (late/steady-state toughness) = 17.78±1.51 MPa*sqrt(m) (mean +/- 1 std, n=5 seeds, 500K)","RAW (per-seed; 5 rows for this class in a 20-row seed-level table, NOT a pre-aggregated summary)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,b48bc8c4d937d962a34ec037e7d7fd829e9a7140c35d5a258619eb2a3d45d07b,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/Rcurve_analysis/seed_Rcurve_metrics_and_fits.csv,artifacts/paper_simulation_completion/source_bundle_figures_2_4/fig3_seed_Rcurve_metrics_and_fits.csv,Rcurve_analysis pipeline over runs/.../<class>/replicate_0N_seed110N/T500_th45/,theta=45.0; T=500K; solver_seeds=1101-1105; target_ext_um=1000.0,n=5/5 seeds complete=True,Mean and sample standard deviation (n-1 denominator) computed from scratch over the 5 raw per-seed rows for this class in the bundled seed-level CSV (not read from any pre-aggregated summary file),17.78±1.51,17.78±1.51,exact string match at 2 decimals,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"This is the corrected recomputation: v2 verified this claim against the DERIVED class_Rcurve_metric_summary_complete_only.csv; this row recomputes from the raw seed-level table directly, per the second review's specific objection."
