candidate_id,parent_id,family,stage,cleavage_zero_target_eV,guard_log10_q_low,guard_exponent,cleavage_entropy_zero_kB,cleavage_entropy_active_kB,cleavage_entropy_infinity_kB,emission_entropy_active_kB,emission_entropy_infinity_kB,emission_stratum,cleavage_heat_capacity_base_kB,cleavage_heat_capacity_guard_kB,emission_heat_capacity_base_kB,complexity
P25_TJBS_T_000011,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,8,-10,40,-10,0,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000012,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,6,0,20,-10,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000013,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,4,10,-10,10,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000014,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,8,-20,-40,20,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000015,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,2,20,0,-20,30,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000016,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,6,-10,-10,10,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000017,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,4,20,40,-10,40,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000018,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,8,-40,20,-20,30,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000019,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,2,40,-20,20,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000020,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,4,40,-40,0,20,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000021,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,6,-20,10,0,50,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000022,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,2,0,20,-10,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000023,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,8,-10,-10,20,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000024,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,2,-40,40,20,20,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000025,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,8,20,0,-20,50,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000026,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,4,0,-20,-10,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000027,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-3,6,10,10,10,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000028,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,8,10,0,20,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000029,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,2,-20,-40,-20,40,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000030,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,6,40,-10,0,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000031,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,4,-40,40,0,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000032,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,2,0,-40,10,30,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000033,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,8,0,10,-10,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000034,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,4,-20,20,-20,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000035,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,6,20,-20,20,40,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000036,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,8,40,-10,10,0,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000037,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,2,-40,40,0,35,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000038,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,6,20,20,-20,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000039,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,4,-10,-20,20,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000040,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,6,-40,0,20,0,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000041,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,4,40,-40,-20,35,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000042,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,8,-20,-10,-10,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000043,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-3,2,10,20,10,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000044,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-8,4,0,40,10,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000045,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,6,0,0,-10,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000046,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,2,20,-20,0,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000047,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,8,-20,10,0,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000048,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,4,10,-20,-20,60,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000049,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,6,-10,20,10,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000050,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,2,40,10,0,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000051,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,8,-40,-40,0,10,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000052,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,6,-20,-20,-20,35,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000053,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,4,20,10,20,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000054,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,8,-10,40,10,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000055,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,2,0,-10,-10,20,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000056,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,8,20,20,0,35,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000057,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,2,-20,-10,0,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000058,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,6,10,-40,20,50,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000059,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,4,0,0,-20,20,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000060,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,2,-10,10,-10,60,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000061,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,8,10,-40,10,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000062,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-8,4,-40,0,20,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000063,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,6,40,40,-20,10,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000064,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,4,-20,0,-10,0,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000065,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,6,20,-40,10,35,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000066,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,2,0,-20,20,20,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000067,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,8,10,20,-20,50,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000068,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,6,10,40,0,30,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000069,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,4,-10,-10,0,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000070,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,8,40,-20,10,10,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000071,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-3,2,-40,20,-10,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000072,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,8,-10,-40,-20,30,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000073,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,2,20,0,20,60,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000074,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,6,-40,20,10,10,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000075,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,4,40,-10,-10,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000076,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,2,20,0,-20,0,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000077,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,8,-20,40,20,35,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000078,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,4,0,10,0,20,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000079,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,6,-10,-20,-10,50,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000080,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,2,40,20,20,35,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000081,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,8,-40,-10,-20,0,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000082,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,4,10,-40,0,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000083,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,6,-20,10,10,20,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000084,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,8,0,10,20,60,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000085,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,2,10,-20,-20,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000086,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-6,6,-20,-10,-10,40,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000087,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,4,20,40,10,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000088,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,6,0,-10,0,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000089,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,4,-10,20,0,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000090,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,8,20,0,-10,40,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000091,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,2,-20,-40,10,10,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000092,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,4,-40,-40,10,35,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000093,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,6,40,10,-10,0,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000094,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-8,2,-10,40,-20,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000095,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,8,20,0,20,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000096,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,6,20,20,10,50,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000097,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,4,-40,-20,-10,20,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000098,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,8,10,0,0,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000099,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,2,0,40,0,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000100,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,4,-20,20,20,40,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000101,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,6,10,-20,-20,10,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000102,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,2,-40,-40,-10,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000103,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,8,40,10,10,30,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000104,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,2,20,-20,10,40,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000105,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,8,-10,10,0,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000106,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-6,4,40,40,-20,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000107,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,6,-40,0,20,30,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000108,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,8,-20,-10,10,50,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000109,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,2,40,20,-10,20,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000110,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,6,-10,0,-20,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000111,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,4,0,-40,20,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000112,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,8,-40,40,-10,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000113,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,2,40,-10,10,50,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000114,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,6,-10,-20,20,0,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000115,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,4,10,10,-20,35,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000116,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,2,10,10,-10,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000117,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,8,0,-40,0,40,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000118,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,4,20,-10,20,30,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000119,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,6,-20,20,-20,60,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000120,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,4,-10,0,-20,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000121,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,6,0,40,20,40,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
